"Yr" "nH" "Year"
1851 3 1851
1852 5 1852
1853 4 1853
1854 3 1854
1855 4 1855
1856 4 1856
1857 3 1857
1858 6 1858
1859 7 1859
1860 6 1860
1861 6 1861
1862 3 1862
1863 5 1863
1864 3 1864
1865 3 1865
1866 6 1866
1867 7 1867
1868 4 1868
1869 7 1869
1870 10 1870
1871 6 1871
1872 4 1872
1873 3 1873
1874 4 1874
1875 5 1875
1876 4 1876
1877 3 1877
1878 10 1878
1879 6 1879
1880 9 1880
1881 5 1881
1882 4 1882
1883 4 1883
1884 4 1884
1885 6 1885
1886 10 1886
1887 12 1887
1888 6 1888
1889 6 1889
1890 2 1890
1891 7 1891
1892 5 1892
1893 10 1893
1894 5 1894
1895 2 1895
1896 6 1896
1897 3 1897
1898 5 1898
1899 5 1899
1900 3 1900
1901 6 1901
1902 3 1902
1903 7 1903
1904 4 1904
1905 1 1905
1906 6 1906
1908 6 1908
1909 6 1909
1910 3 1910
1911 3 1911
1912 4 1912
1913 4 1913
1915 5 1915
1916 10 1916
1917 2 1917
1918 4 1918
1919 3 1919
1920 4 1920
1921 6 1921
1922 3 1922
1923 4 1923
1924 6 1924
1925 2 1925
1926 8 1926
1927 4 1927
1928 4 1928
1929 3 1929
1930 2 1930
1931 3 1931
1932 7 1932
1933 12 1933
1934 7 1934
1935 5 1935
1936 7 1936
1937 5 1937
1938 4 1938
1939 3 1939
1940 7 1940
1941 4 1941
1942 4 1942
1943 5 1943
1944 8 1944
1945 5 1945
1946 4 1946
1947 5 1947
1948 6 1948
1949 8 1949
1950 11 1950
1951 8 1951
1952 6 1952
1953 5 1953
1954 8 1954
1955 10 1955
1956 4 1956
1957 3 1957
1958 7 1958
1959 7 1959
1960 4 1960
1961 8 1961
1962 3 1962
1963 7 1963
1964 6 1964
1965 4 1965
1966 7 1966
1967 6 1967
1968 5 1968
1969 12 1969
1970 5 1970
1971 6 1971
1972 3 1972
1973 4 1973
1974 4 1974
1975 6 1975
1976 6 1976
1977 5 1977
1978 5 1978
1979 6 1979
1980 9 1980
1981 7 1981
1982 2 1982
1983 3 1983
1984 5 1984
1985 7 1985
1986 4 1986
1987 3 1987
1988 6 1988
1989 7 1989
1990 8 1990
1991 4 1991
1992 4 1992
1993 4 1993
1994 3 1994
1995 11 1995
1996 9 1996
1997 3 1997
1998 10 1998
1999 8 1999
2000 8 2000
2001 9 2001
2002 4 2002
2003 7 2003
2004 9 2004
2005 15 2005
2006 5 2006
2007 7 2007
2008 9 2008
2009 3 2009
2010 12 2010
2011 7 2011
2012 10 2012
2013 2 2013
