"SYear" "nTS" "nH"
"1" 1851 6 3
"2" 1852 5 5
"3" 1853 8 4
"4" 1854 5 3
"5" 1855 5 4
"6" 1856 6 4
"7" 1857 4 3
"8" 1858 6 6
"9" 1859 8 7
"10" 1860 7 6
"11" 1861 8 6
"12" 1862 6 3
"13" 1863 9 5
"14" 1864 5 3
"15" 1865 7 3
"16" 1866 7 6
"17" 1867 9 7
"18" 1868 4 4
"19" 1869 10 7
"20" 1870 11 10
"21" 1871 8 6
"22" 1872 5 4
"23" 1873 5 3
"24" 1874 7 4
"25" 1875 6 5
"26" 1876 5 4
"27" 1877 8 3
"28" 1878 12 10
"29" 1879 8 6
"30" 1880 11 9
"31" 1881 8 5
"32" 1882 6 4
"33" 1883 4 4
"34" 1884 4 4
"35" 1885 8 6
"36" 1886 12 10
"37" 1887 19 12
"38" 1888 9 6
"39" 1889 9 6
"40" 1890 4 2
"41" 1891 10 7
"42" 1892 9 5
"43" 1893 12 10
"44" 1894 7 5
"45" 1895 6 2
"46" 1896 7 6
"47" 1897 6 3
"48" 1898 11 5
"49" 1899 10 5
"50" 1900 7 3
"51" 1901 13 6
"52" 1902 5 3
"53" 1903 10 7
"54" 1904 6 4
"55" 1905 5 1
"56" 1906 11 6
"57" 1908 10 6
"58" 1909 12 6
"59" 1910 5 3
"60" 1911 6 3
"61" 1912 7 4
"62" 1913 6 4
"63" 1914 1 1
"64" 1915 6 5
"65" 1916 15 10
"66" 1917 4 2
"67" 1918 6 4
"68" 1919 6 3
"69" 1920 5 4
"70" 1921 7 6
"71" 1922 5 3
"72" 1923 9 4
"73" 1924 11 5
"74" 1925 4 2
"75" 1926 11 8
"76" 1927 8 4
"77" 1928 6 4
"78" 1929 5 3
"79" 1930 3 2
"80" 1931 13 3
"81" 1932 15 7
"82" 1933 20 12
"83" 1934 13 7
"84" 1935 8 5
"85" 1936 17 7
"86" 1937 11 5
"87" 1938 9 4
"88" 1939 6 3
"89" 1940 9 7
"90" 1941 6 4
"91" 1942 11 4
"92" 1943 10 5
"93" 1944 14 8
"94" 1945 11 5
"95" 1946 7 4
"96" 1947 10 5
"97" 1948 10 6
"98" 1949 16 8
"99" 1950 16 11
"100" 1951 10 8
"101" 1952 7 6
"102" 1953 13 5
"103" 1954 11 8
"104" 1955 12 9
"105" 1956 8 4
"106" 1957 8 3
"107" 1958 10 7
"108" 1959 11 7
"109" 1960 7 4
"110" 1961 11 8
"111" 1962 5 3
"112" 1963 9 7
"113" 1964 12 6
"114" 1965 6 4
"115" 1966 11 7
"116" 1967 8 6
"117" 1968 8 5
"118" 1969 19 12
"119" 1970 11 5
"120" 1971 19 6
"121" 1972 9 3
"122" 1973 11 4
"123" 1974 15 4
"124" 1975 16 6
"125" 1976 12 6
"126" 1977 10 5
"127" 1978 16 5
"128" 1979 13 5
"129" 1980 13 9
"130" 1981 18 7
"131" 1982 6 2
"132" 1983 4 2
"133" 1984 17 5
"134" 1985 11 7
"135" 1986 8 4
"136" 1987 9 3
"137" 1988 12 6
"138" 1989 11 7
"139" 1990 14 8
"140" 1991 8 4
"141" 1992 7 4
"142" 1993 9 3
"143" 1994 7 3
"144" 1995 19 11
"145" 1996 13 9
"146" 1997 8 3
"147" 1998 14 10
"148" 1999 12 8
"149" 2000 14 8
"150" 2001 15 10
"151" 2002 12 4
"152" 2003 16 6
"153" 2004 15 9
"154" 2005 27 14
"155" 2006 10 5
"156" 2007 16 7
"157" 2008 16 9
"158" 2009 7 3
"159" 2010 18 12
"160" 2011 19 7
"161" 2012 19 10
"162" 2013 13 2
