
Year   Jan      Feb      Mar      Apr      May      Jun      Jul      Aug      Sep      Oct      Nov      Dec
1895   37.900   43.000   43.600   48.300   53.500   61.200   65.000   65.600   58.400   55.800   43.600   37.100
1896   42.000   43.600   45.100   42.500   49.800   60.700   69.200   66.000   60.600   54.700   42.000   42.800
1897   39.600   39.800   38.400   50.600   57.900   59.100   65.600   67.000   60.300   53.000   43.100   39.900
1898   35.500   42.800   41.800   50.000   51.700   60.100   66.000   67.100   60.900   52.900   44.100   38.200
1899   41.000   40.200   42.800   47.300   49.000   59.500   65.700   61.500   63.700   50.300   47.400   39.800
1900   43.100   42.400   48.100   46.400   53.600   61.200   66.100   63.100   59.100   50.800   46.300   41.300
1901   36.900   40.100   45.200   45.200   52.800   57.800   64.600   66.800   59.000   56.100   46.800   40.200
1902   37.900   43.400   41.700   46.200   51.300   60.100   64.700   65.800   62.700   52.900   43.300   39.400
1903   38.800   36.100   41.900   45.500   54.400   61.600   63.500   65.400   61.800   56.500   46.000   40.100
1904   38.600   38.500   40.700   48.100   56.900   61.200   65.700   66.700   62.800   53.900   47.300   39.800
1905   41.800   43.500   46.600   49.800   49.800   59.200   68.100   66.400   61.900   52.800   43.500   38.000
1906   40.300   43.900   42.600   49.700   52.100   56.900   70.700   67.300   62.000   54.600   44.600   40.900
1907   37.200   46.900   41.000   50.000   53.500   58.300   66.000   65.000   60.200   56.600   45.800   41.500
1908   41.600   40.300   44.000   50.000   49.200   58.200   70.100   66.400   62.300   51.800   46.700   37.300
1909   40.900   40.000   42.700   50.000   52.500   60.500   64.200   66.200   63.100   53.600   44.200   36.900
1910   35.400   38.300   48.200   51.500   57.200   58.800   68.300   66.200   60.400   55.600   44.700   42.000
1911   37.700   36.500   46.600   46.600   50.300   59.600   68.800   64.900   57.600   52.200   44.200   37.500
1912   40.900   43.600   41.900   45.200   53.500   59.500   64.200   64.100   60.200   49.400   45.100   38.900
1913   34.800   38.900   41.900   46.800   54.700   58.400   66.400   68.700   63.500   55.000   45.000   39.100
1914   41.100   41.500   48.800   49.100   56.200   59.000   66.500   67.400   59.000   53.400   45.200   35.600
1915   38.500   41.000   46.900   50.400   50.700   59.300   65.600   68.200   60.000   54.100   42.800   39.700
1916   33.400   44.500   45.600   49.600   50.200   58.500   64.000   65.400   61.500   50.400   40.900   35.500
1917   33.700   38.600   38.400   45.800   49.800   59.200   68.400   66.900   62.300   56.900   46.600   43.200
1918   41.800   39.900   43.800   48.400   51.700   65.100   64.300   65.100   62.200   55.300   43.200   36.800
1919   39.100   38.500   42.400   49.400   54.900   58.700   66.700   66.300   60.300   49.800   42.600   36.800
1920   41.500   41.100   41.300   45.600   52.700   59.700   64.000   67.700   60.400   50.200   43.600   39.000
1921   38.400   42.000   46.000   47.000   51.300   60.700   66.400   64.800   60.000   55.600   46.100   39.900
1922   34.700   37.200   40.000   45.200   53.500   61.800   68.500   64.500   63.700   52.200   41.400   38.700
1923   37.900   40.100   44.700   47.200   53.100   56.100   65.200   65.800   63.100   52.200   47.200   37.100
1924   37.400   44.900   42.100   50.200   57.900   60.900   65.700   65.400   60.800   50.400   43.900   35.500
1925   41.100   42.000   44.700   48.300   54.000   60.300   67.900   63.900   57.700   51.900   43.300   40.500
1926   38.400   43.500   49.400   52.800   55.000   64.300   67.900   65.800   58.700   54.800   48.800   38.700
1927   41.000   41.000   43.000   46.600   51.200   59.900   66.200   64.700   59.200   53.700   46.300   37.500
1928   40.200   42.400   46.900   46.600   57.400   59.600   66.500   65.700   61.800   52.900   43.900   37.200
1929   35.900   38.400   43.900   43.600   53.500   59.000   65.300   66.200   60.200   55.300   44.600   44.200
1930   35.200   44.100   46.400   49.300   50.200   59.700   65.900   65.600   59.900   53.100   44.800   38.000
1931   39.900   43.400   46.000   49.900   58.400   59.400   69.200   66.700   60.000   53.100   41.100   36.800
1932   36.100   38.500   46.000   45.900   53.000   61.900   64.700   65.600   65.100   54.200   47.900   34.500
1933   35.000   36.100   43.100   47.800   48.300   59.000   68.100   67.300   59.300   57.300   46.400   40.700
1934   43.600   45.100   51.900   53.100   56.700   59.800   65.600   67.700   62.800   54.300   46.700   41.000
1935   37.600   42.200   40.600   48.000   54.200   61.600   64.700   66.500   63.700   52.700   42.700   40.200
1936   41.700   41.800   45.400   50.400   56.200   60.700   67.000   67.300   62.600   56.000   44.200   39.000
1937   29.600   37.500   44.100   46.100   55.300   60.800   68.100   65.900   62.600   55.700   46.800   42.400
1938   41.000   39.700   41.300   48.300   54.800   62.300   68.300   65.200   63.700   53.200   42.100   41.300
1939   39.200   38.200   45.800   52.400   55.500   59.800   67.500   67.500   63.400   54.600   45.500   43.200
1940   42.400   43.700   46.700   49.900   56.800   63.900   65.600   67.500   61.400   55.200   43.900   42.000
1941   41.900   44.800   47.400   47.600   55.000   58.400   68.400   65.000   60.000   52.500   47.500   41.100
1942   39.700   40.300   42.900   47.000   50.800   58.900   67.700   66.900   62.100   55.100   45.000   41.300
1943   38.700   43.300   45.900   49.500   53.700   56.800   66.400   64.400   66.100   53.600   46.400   41.000
1944   39.000   40.300   44.200   45.800   53.600   57.500   65.600   65.200   63.500   56.200   43.500   41.700
1945   40.600   42.700   41.200   47.800   53.200   60.100   68.000   65.800   62.700   56.100   44.200   40.600
1946   38.400   38.800   43.200   48.900   54.400   58.000   67.000   66.600   61.200   50.700   42.900   41.000
1947   36.900   44.800   46.800   50.800   57.600   59.400   64.500   64.700   63.400   54.200   43.500   39.900
1948   40.900   38.700   40.800   43.100   50.700   60.200   64.600   64.300   60.900   53.800   43.000   34.800
1949   30.600   36.800   42.600   51.100   54.900   61.100   65.900   64.800   63.600   51.500   49.000   37.800
1950   33.000   40.900   42.500   48.100   53.600   59.200   68.000   68.000   62.700   54.900   48.400   44.500
1951   38.800   41.200   42.300   50.000   54.400   61.700   66.200   66.500   64.200   53.400   45.200   37.800
1952   35.600   40.200   40.300   49.300   55.000   57.400   69.100   66.100   65.300   57.800   42.200   38.900
1953   43.400   42.600   42.800   46.600   50.000   56.200   66.900   65.300   65.900   53.500   47.200   41.100
1954   39.500   43.600   42.200   50.100   56.000   57.900   66.200   63.300   60.600   53.200   46.500   38.500
1955   36.100   38.800   42.600   42.900   53.300   60.200   63.800   66.800   61.900   54.900   43.300   41.700
1956   40.600   37.000   43.200   48.600   54.600   59.500   67.600   65.100   62.500   52.500   44.600   38.600
1957   34.300   42.500   44.300   48.400   54.400   62.500   65.700   64.400   64.500   52.200   43.400   40.800
1958   40.800   45.400   41.000   47.500   57.500   61.500   68.800   69.900   64.100   57.400   46.600   45.000
1959   41.900   40.200   45.700   51.400   52.300   61.600   69.400   66.700   61.600   56.600   45.500   38.800
1960   38.600   41.400   46.400   47.400   52.000   64.100   69.200   65.900   63.500   54.700   44.100   40.500
1961   41.500   43.600   42.800   48.600   51.700   64.100   68.000   68.800   60.900   54.100   43.300   39.000
1962   37.000   40.200   41.800   51.000   51.600   60.200   66.200   65.700   63.600   53.900   46.700   42.100
1963   37.100   48.300   42.600   43.500   54.800   59.300   63.900   65.400   65.100   55.100   44.800   40.600
1964   38.000   40.700   41.500   46.400   51.400   58.600   66.500   66.300   61.200   57.200   42.700   41.700
1965   39.700   41.900   45.100   48.000   52.400   58.600   66.100   66.400   60.200   57.300   46.600   37.300
1966   38.700   39.300   43.900   51.300   56.400   59.800   64.300   67.700   63.700   54.900   46.100   41.100
1967   39.800   42.600   41.300   40.100   54.500   60.600   68.300   70.100   66.200   55.200   48.000   35.600
1968   37.400   46.100   45.800   48.100   53.100   61.500   68.100   64.700   63.600   53.700   44.700   37.200
1969   36.500   37.900   43.100   46.800   57.200   61.200   67.200   66.600   64.200   51.700   46.100   42.600
1970   42.400   44.600   45.100   44.000   55.400   62.300   68.100   66.600   61.500   52.700   46.800   38.000
1971   39.200   41.000   41.500   45.300   52.200   58.200   66.900   68.600   61.600   50.800   43.600   35.700
1972   36.900   42.000   47.700   46.200   54.900   61.600   68.200   67.400   60.100   53.500   43.800   34.500
