Year    Jan      Feb      Mar      Apr      May      Jun      Jul      Aug      Sep      Oct      Nov      Dec
1895    8.210    3.540    6.060    4.240    3.330    6.950    6.820    8.860    2.140    2.020    1.170    3.070
1896    4.120    7.100    5.010    1.810    2.400    7.000    8.580    4.620    2.250    3.880    5.590    3.460
1897    1.940   10.530    8.800    4.840    1.720    3.840    6.440    9.810    4.480    1.770    1.520    3.980
1898    2.170    3.780    1.900    2.430    1.680    2.830    6.960   16.690    4.760    3.600    6.660    5.250
1899    5.820    4.390    3.730    2.510    1.700    3.880    6.210    9.150    0.940    4.400    2.040    3.520
1900    2.950    9.280    6.650    5.140    2.460    9.570    7.590    3.600    3.960    6.630    1.910    6.420
1901    4.050    5.870    7.240    4.380    5.270    3.440    6.970   10.390    5.550    1.550    0.920    4.020
1902    1.170    7.300   11.410    1.170    3.300    4.260    4.330    4.210   10.040    4.040    4.270    4.240
1903    4.170    6.310    5.790    1.380    6.500    6.340    5.410    7.640    5.550    2.570    4.000    3.730
1904    4.490    3.520    2.850    2.160    2.650    3.270    5.070    9.880    1.780    0.110    3.010    4.250
1905    5.090    7.910    3.960    2.080    5.890    3.870    5.140    7.740    4.050    4.140    1.540    8.990
1906    5.430    3.560    5.250    0.560    5.070    4.930    8.060    6.980   12.240    3.260    1.630    2.960
1907    1.550    3.000    2.100    6.300    3.990    3.920    7.870    6.860   11.840    1.380    4.720   10.910
1908    4.650    5.370    3.070    6.270    3.670    4.710    6.610    5.800    4.180    1.380    0.560    1.390
1909    0.860    4.210    3.690    4.380    4.150    5.750    9.580    5.990    3.350    1.890    0.740    5.800
1910    2.510    6.210    1.890    4.170    1.010    8.940    9.760    4.150    2.900    3.620    2.650    1.880
1911    2.880    0.770    4.350    4.740    2.930    4.410    6.230    8.750    3.230    5.730    4.030    9.320
1912    4.390    5.790    6.490    9.580    3.600    5.300    6.890    7.810   10.370    2.850    4.400    4.790
1913    2.510    5.600   10.140    1.350    3.030    5.490    7.160    6.330    8.000    3.300    0.650    3.570
1914    4.190    8.460    2.700    1.590    0.520    3.890    4.620    6.460    7.900    3.460    3.790    4.350
1915    8.100    4.710    3.330    0.670    6.570    4.970    5.760    6.010    4.420    6.910    2.140    2.840
1916    2.140    2.560    2.100    3.000    3.070    4.690   17.720    5.290    3.350    3.050    2.080    6.700
1917    4.760    3.910    3.120    1.810    2.970    3.870    8.420    7.420    4.830    1.000    0.990    1.990
1918    3.800    1.480    1.190    7.870    2.590    4.020    5.020    7.840    4.120    6.370    6.020    7.470
1919    4.020    8.230    6.920    4.370    5.960    4.550   10.180    9.420    2.000    3.420    3.780    3.620
1920    5.880    5.360    3.240    7.870    5.290    5.210    5.780    9.060    5.120    2.240    4.350    7.430
1921    1.680    2.040    2.900    4.740    4.400    2.460    7.720    6.840    1.830    2.660    3.470    3.530
1922    3.520    5.270    6.730    2.400    8.000    6.770    5.500    4.840    3.930    4.650    1.290    5.590
1923    3.890    4.200    5.710    4.250    6.480   10.470    8.400    9.530    2.990    2.790    3.250    2.580
1924    5.630    4.150    4.090    4.740    3.710    6.200    9.820    4.280   12.010    1.450    0.360    6.940
1925    7.320    2.650    1.590    1.370    2.790    5.540    6.200    4.130    1.650    6.280    4.640    5.950
1926    7.980    5.920    7.780    4.550    2.600    5.100    8.090   10.830   10.800    2.470    3.830    2.210
1927    0.380    5.470    2.890    0.740    1.370    9.000    6.900    5.550    3.300    3.380    1.190    8.390
1928    1.050    7.420    8.120   13.740    2.630    7.840    7.990    8.490    7.280    3.330    1.180    2.570
1929    5.520    5.550    9.500    5.360    3.950    8.310    7.720    5.880    8.810    4.890    3.190    3.090
1930    6.390    2.610    6.880    2.850    1.310    2.890    6.520    3.400    8.910    2.280   10.320    3.350
1931    3.120    3.210    4.510    1.970    1.990    2.390    7.340    7.440    2.570    1.700    0.150    6.190
1932    6.370    2.450    4.260    1.660    6.620    6.240    4.500   10.480    8.330    6.530    4.300    3.720
1933    4.020    6.150    5.780    9.300    1.550    3.870   10.420    4.960    1.940    0.940    0.610    1.460
1934    2.530    4.490    5.210    3.040    5.380    6.170    7.800    7.740    2.440    4.310    3.720    1.710
1935    1.870    5.020    3.140    5.350    5.260    3.080    9.510   12.050    4.840    0.290    2.320    3.620
1936   10.660    5.500    2.720    4.560    3.330    3.110    9.110    9.150    4.070    3.850    0.770    4.660
1937    2.830    5.560    5.140    6.350    4.570    5.990    5.200    9.850    7.220    4.040    5.340    1.890
1938    2.730    2.260    3.550    3.280    3.050    6.150    7.940    4.310    4.280    0.990    1.220    2.790
1939    2.770    5.940    2.300    5.070    5.280    9.050    6.680   16.000    5.160    0.170    1.650    3.160
1940    2.420    6.720    4.110    3.390    2.400    6.590   11.850    5.450    1.580    0.270    4.460    7.200
1941    2.020    2.400    6.190    2.440    1.300    7.630   11.960    5.870    5.770    3.250    2.040    5.940
1942    6.640    6.770    8.510    1.660    4.890    8.400    7.100    6.730    7.670    1.050    1.210    5.460
1943    4.360    1.640    7.370    2.530    4.730    4.940    6.930    4.080    5.310    0.360    2.790    3.850
1944    3.740    4.180    9.030    7.220    2.240    4.570    8.370    9.420    9.170    0.870    3.760    1.640
1945    5.070    3.550    1.880    6.180    3.080    3.240   10.990    6.350    5.650    2.150    1.170    7.590
1946    5.570    3.640    9.490    2.280   10.070    5.630    9.980    7.810    7.500    1.360    3.750    0.800
1947    6.980    2.180   10.740    7.540    6.830    5.430    4.760    6.610    7.390    3.200   11.940    5.380
1948    4.990    1.560   13.690    8.070    2.540    3.240   13.660    7.130    6.240    3.760    7.700    4.780
1949    2.480    4.830    5.460    8.710    2.040    7.340   10.750    6.890    3.170    3.470    1.190    2.600
