Year   All MUS  G   FL  E
1851    1   1   0   1   0
1852    3   1   1   2   0
1853    0   0   0   0   0
1854    2   1   1   0   1
1855    1   1   1   0   0
1856    2   1   1   1   0
1857    1   0   0   0   1
1858    1   0   0   0   1
1859    1   0   1   0   0
1860    3   1   3   0   0
1861    2   0   0   0   2
1862    0   0   0   0   0
1863    0   0   0   0   0
1864    0   0   0   0   0
1865    2   0   1   1   0
1866    1   0   1   0   0
1867    1   0   1   0   0
1868    0   0   0   0   0
1869    4   0   2   0   2
1870    2   0   1   1   0
1871    3   0   0   2   1
1872    0   0   0   0   0
1873    2   1   0   2   0
1874    1   0   0   1   1
1875    1   1   1   0   0
1876    2   0   0   1   1
1877    2   1   1   2   0
1878    2   0   0   1   1
1879    3   2   2   0   1
1880    4   1   1   3   0
1881    2   0   0   0   2
1882    2   1   0   2   0
1883    1   0   0   0   1
1884    0   0   0   0   0
1885    1   1   0   0   1
1886    7   1   4   3   0
1887    3   1   2   1   0
1888    3   0   2   2   0
1889    0   0   0   0   0
1890    0   0   0   0   0
1891    1   0   1   0   0
1892    0   0   0   0   0
1893    6   3   2   1   3
1894    2   1   0   2   1
1895    0   0   0   0   0
1896    4   2   0   3   1
1897    2   0   1   1   0
1898    3   1   0   1   2
1899    3   2   0   1   2
1900    1   1   1   0   0
1901    2   0   1   1   0
1902    0   0   0   0   0
1903    2   0   0   1   1
1904    1   0   0   0   1
1905    0   0   0   0   0
1906    4   2   1   2   1
1907    0   0   0   0   0
1908    1   0   0   0   1
1909    4   3   3   1   0
1910    2   1   1   1   0
1911    2   0   1   1   1
1912    2   0   2   0   0
1913    2   0   1   0   1
1914    0   0   0   0   0
1915    3   2   2   1   0
1916    6   2   3   2   2
1917    1   1   0   1   0
1918    1   1   1   0   0
1919    1   1   1   1   0
1920    2   0   1   0   1
1921    2   1   1   1   0
1922    0   0   0   0   0
1923    1   0   1   0   0
1924    2   0   0   2   0
1925    1   0   0   1   0
1926    3   2   2   2   0
1927    0   0   0   0   0
1928    2   1   0   2   1
1929    2   1   1   1   0
1930    0   0   0   0   0
1931    0   0   0   0   0
1932    2   1   2   0   0
1933    5   3   2   2   2
1934    2   1   0   2   0
1935    2   1   0   2   0
1936    3   1   1   1   1
1937    0   0   0   0   0
1938    2   1   1   0   1
1939    1   0   0   1   0
1940    2   0   1   0   1
1941    2   1   1   1   0
1942    2   1   0   2   0
1943    1   0   1   0   0
1944    3   2   0   1   2
1945    3   1   1   2   0
1946    1   0   0   1   0
1947    3   1   2   2   1
1948    3   1   1   2   0
1949    3   1   1   1   1
1950    3   2   1   2   0
1951    0   0   0   0   0
1952    1   0   0   0   1
1953    3   0   0   1   2
1954    3   3   0   0   3
1955    3   2   0   0   3
1956    1   0   1   1   0
1957    1   1   1   0   0
1958    0   0   0   0   0
1959    3   1   2   0   1
1960    2   1   1   1   1
1961    1   1   1   0   0
1962    0   0   0   0   0
1963    1   0   1   0   0
1964    4   1   1   3   0
1965    1   1   1   1   0
1966    2   0   0   2   0
1967    1   1   0   1   0
1968    1   0   0   1   0
1969    2   1   1   0   1
1970    1   1   1   0   0
1971    3   0   2   0   1
1972    1   0   0   1   1
1973    0   0   0   0   0
1974    1   1   1   0   0
1975    1   1   0   1   0
1976    1   0   0   0   1
1977    1   0   1   0   0
1978    0   0   0   0   0
1979    3   1   2   1   1
1980    1   1   1   0   0
1981    0   0   0   0   0
1982    0   0   0   0   0
1983    1   1   1   0   0
1984    1   0   0   0   1
1985    6   2   3   2   2
1986    2   0   1   0   1
1987    1   0   0   1   0
1988    1   0   1   0   0
1989    3   1   2   1   0
1990    0   0   0   0   0
1991    1   0   0   0   1
1992    1   1   1   1   0
1993    1   1   0   0   1
1994    0   0   0   0   0
1995    2   1   0   2   0
1996    2   1   0   0   2
1997    1   0   1   0   0
1998    3   0   1   2   1
1999    3   1   1   1   1
2000    0   0   0   0   0
2001    0   0   0   0   0
2002    1   0   1   0   0
2003    2   0   1   0   1
2004    6   3   1   4   3
2005    6   4   3   3   1
2006    0   0   0   0   0
2007    1   0   1   0   0
2008    3   0   3   0   0
2009    0   0   0   0   0
2010    0   0   0   0   0
2011    1   0   0   0   1
2012    2   0   0   0   1
2013    0   0   0   0   0
2014    1   0   0   0   1
2015    0   0   0   0   0
2016    2   0   0   1   1
2017    3   2   2   1   0
2018    2   1   1   1   0
2019    2   0   1   0   1
2020    6   2   5   1   1
2021    2   1   2   0   0
2022    2   1   0   2   1
