  Year    Month     Year.dec       CH4_ppb         Avg_unc       Trend         Trend_unc
  1983       7      1983.542       1625.92          2.10       1634.76          1.39
  1983       8      1983.625       1628.07          2.69       1635.36          1.33
  1983       9      1983.708       1638.42          2.33       1635.99          1.27
  1983      10      1983.792       1644.81          1.59       1636.68          1.20
  1983      11      1983.875       1642.62          0.78       1637.43          1.12
  1983      12      1983.958       1639.49          1.01       1638.23          1.04
  1984       1      1984.042       1638.66          1.78       1639.13          0.95
  1984       2      1984.125       1638.79          2.05       1640.03          0.87
  1984       3      1984.208       1640.70          1.81       1640.99          0.81
  1984       4      1984.292       1643.72          1.93       1642.03          0.75
  1984       5      1984.375       1642.92          1.09       1643.11          0.71
  1984       6      1984.458       1639.61          0.90       1644.21          0.68
  1984       7      1984.542       1637.78          1.10       1645.33          0.66
  1984       8      1984.625       1641.38          1.51       1646.49          0.65
  1984       9      1984.708       1650.40          1.21       1647.62          0.65
  1984      10      1984.792       1654.49          1.54       1648.75          0.65
  1984      11      1984.875       1653.69          1.08       1649.86          0.66
  1984      12      1984.958       1656.12          1.23       1650.96          0.66
  1985       1      1985.042       1655.58          1.26       1652.06          0.66
  1985       2      1985.125       1652.25          1.39       1653.09          0.66
  1985       3      1985.208       1654.59          0.99       1654.10          0.66
  1985       4      1985.292       1658.18          0.90       1655.14          0.65
  1985       5      1985.375       1655.88          1.27       1656.16          0.65
  1985       6      1985.458       1650.05          1.35       1657.17          0.64
  1985       7      1985.542       1646.79          1.36       1658.18          0.65
  1985       8      1985.625       1652.26          1.42       1659.20          0.65
  1985       9      1985.708       1662.51          1.34       1660.21          0.66
  1985      10      1985.792       1667.50          1.23       1661.23          0.68
  1985      11      1985.875       1666.81          1.32       1662.25          0.69
  1985      12      1985.958       1666.03          1.20       1663.29          0.72
  1986       1      1986.042       1666.22          1.25       1664.34          0.75
  1986       2      1986.125       1666.87          1.76       1665.35          0.77
  1986       3      1986.208       1669.25          1.31       1666.37          0.79
  1986       4      1986.292       1670.81          1.46       1667.44          0.82
  1986       5      1986.375       1668.46          0.91       1668.51          0.84
  1986       6      1986.458       1664.77          1.30       1669.58          0.86
  1986       7      1986.542       1662.31          1.36       1670.67          0.87
  1986       8      1986.625       1664.38          1.89       1671.77          0.88
  1986       9      1986.708       1672.58          1.69       1672.87          0.87
  1986      10      1986.792       1678.67          1.54       1673.96          0.86
  1986      11      1986.875       1679.02          1.69       1675.06          0.85
  1986      12      1986.958       1679.11          1.18       1676.16          0.82
  1987       1      1987.042       1679.31          1.13       1677.26          0.79
  1987       2      1987.125       1679.01          1.07       1678.30          0.75
  1987       3      1987.208       1680.11          0.87       1679.33          0.71
  1987       4      1987.292       1681.42          0.94       1680.37          0.66
  1987       5      1987.375       1681.87          0.96       1681.39          0.61
  1987       6      1987.458       1680.01          0.97       1682.38          0.56
  1987       7      1987.542       1675.98          0.86       1683.33          0.51
  1987       8      1987.625       1677.16          0.83       1684.27          0.47
  1987       9      1987.708       1685.59          0.91       1685.16          0.44
  1987      10      1987.792       1691.57          0.83       1686.02          0.41
  1987      11      1987.875       1691.19          0.73       1686.86          0.41
  1987      12      1987.958       1690.49          0.88       1687.68          0.41
  1988       1      1988.042       1691.97          0.83       1688.51          0.43
  1988       2      1988.125       1692.52          0.81       1689.28          0.46
  1988       3      1988.208       1691.27          0.99       1690.06          0.50
  1988       4      1988.292       1689.99          1.00       1690.89          0.53
  1988       5      1988.375       1689.06          1.03       1691.72          0.57
  1988       6      1988.458       1687.09          1.10       1692.58          0.60
  1988       7      1988.542       1685.80          0.75       1693.47          0.62
  1988       8      1988.625       1689.16          1.00       1694.39          0.64
  1988       9      1988.708       1695.92          1.21       1695.34          0.65
  1988      10      1988.792       1701.07          1.25       1696.31          0.65
  1988      11      1988.875       1702.85          1.20       1697.30          0.65
  1988      12      1988.958       1701.94          1.02       1698.31          0.64
  1989       1      1989.042       1700.54          0.96       1699.35          0.62
  1989       2      1989.125       1701.10          1.07       1700.34          0.61
  1989       3      1989.208       1702.53          1.26       1701.33          0.59
  1989       4      1989.292       1703.66          1.02       1702.35          0.58
  1989       5      1989.375       1703.43          0.49       1703.35          0.56
  1989       6      1989.458       1700.23          0.83       1704.33          0.56
  1989       7      1989.542       1698.22          0.87       1705.29          0.55
  1989       8      1989.625       1701.98          0.97       1706.23          0.55
  1989       9      1989.708       1707.16          1.02       1707.13          0.56
  1989      10      1989.792       1710.52          1.09       1707.99          0.57
  1989      11      1989.875       1713.11          0.86       1708.81          0.59
  1989      12      1989.958       1713.16          0.87       1709.61          0.61
  1990       1      1990.042       1711.98          1.13       1710.38          0.63
  1990       2      1990.125       1713.36          1.29       1711.08          0.65
  1990       3      1990.208       1714.35          0.94       1711.76          0.66
  1990       4      1990.292       1712.63          0.96       1712.44          0.68
  1990       5      1990.375       1710.69          1.00       1713.11          0.69
  1990       6      1990.458       1708.32          0.80       1713.76          0.70
  1990       7      1990.542       1706.36          0.72       1714.42          0.71
  1990       8      1990.625       1710.12          1.32       1715.11          0.72
  1990       9      1990.708       1717.54          1.44       1715.82          0.72
  1990      10      1990.792       1722.04          1.05       1716.57          0.72
  1990      11      1990.875       1723.53          0.93       1717.37          0.73
  1990      12      1990.958       1723.34          1.01       1718.23          0.73
  1991       1      1991.042       1721.59          1.16       1719.18          0.73
  1991       2      1991.125       1721.22          1.16       1720.17          0.72
  1991       3      1991.208       1722.11          0.97       1721.22          0.72
  1991       4      1991.292       1722.54          1.07       1722.39          0.72
  1991       5      1991.375       1722.24          1.11       1723.61          0.72
  1991       6      1991.458       1719.01          1.17       1724.89          0.72
  1991       7      1991.542       1716.06          1.01       1726.19          0.71
  1991       8      1991.625       1719.23          1.13       1727.53          0.71
  1991       9      1991.708       1726.14          1.51       1728.81          0.71
  1991      10      1991.792       1732.73          0.97       1730.05          0.71
  1991      11      1991.875       1737.51          0.92       1731.20          0.71
  1991      12      1991.958       1739.63          1.01       1732.25          0.70
  1992       1      1992.042       1738.86          0.97       1733.21          0.69
  1992       2      1992.125       1737.35          1.00       1733.96          0.67
  1992       3      1992.208       1736.95          0.92       1734.57          0.66
  1992       4      1992.292       1736.63          0.57       1735.06          0.63
  1992       5      1992.375       1734.93          0.78       1735.39          0.61
  1992       6      1992.458       1731.58          1.08       1735.59          0.58
  1992       7      1992.542       1728.88          1.19       1735.66          0.55
  1992       8      1992.625       1730.43          1.07       1735.65          0.53
  1992       9      1992.708       1734.68          0.77       1735.57          0.51
  1992      10      1992.792       1737.75          0.75       1735.45          0.49
  1992      11      1992.875       1739.32          1.05       1735.32          0.48
  1992      12      1992.958       1738.56          0.93       1735.21          0.47
  1993       1      1993.042       1735.75          0.84       1735.13          0.46
  1993       2      1993.125       1734.40          0.87       1735.12          0.46
  1993       3      1993.208       1735.50          0.90       1735.17          0.45
  1993       4      1993.292       1736.67          0.69       1735.30          0.46
  1993       5      1993.375       1734.97          0.77       1735.51          0.46
  1993       6      1993.458       1730.83          0.90       1735.80          0.47
  1993       7      1993.542       1728.03          0.96       1736.16          0.49
  1993       8      1993.625       1731.21          1.00       1736.59          0.51
  1993       9      1993.708       1738.46          0.98       1737.06          0.54
  1993      10      1993.792       1743.34          0.95       1737.57          0.57
  1993      11      1993.875       1745.19          0.80       1738.12          0.60
  1993      12      1993.958       1744.26          0.90       1738.68          0.62
  1994       1      1994.042       1741.41          0.94       1739.27          0.64
  1994       2      1994.125       1740.87          1.00       1739.84          0.66
  1994       3      1994.208       1741.92          0.89       1740.42          0.66
  1994       4      1994.292       1741.91          0.75       1741.02          0.66
  1994       5      1994.375       1740.64          1.08       1741.62          0.65
  1994       6      1994.458       1736.90          1.25       1742.24          0.63
  1994       7      1994.542       1732.41          1.18       1742.86          0.61
  1994       8      1994.625       1734.10          1.17       1743.49          0.58
  1994       9      1994.708       1742.95          0.91       1744.11          0.56
  1994      10      1994.792       1749.83          0.69       1744.73          0.53
  1994      11      1994.875       1751.26          0.75       1745.33          0.51
  1994      12      1994.958       1751.55          0.81       1745.92          0.49
  1995       1      1995.042       1751.03          0.91       1746.49          0.48
  1995       2      1995.125       1749.42          0.92       1747.01          0.47
  1995       3      1995.208       1748.92          0.65       1747.48          0.47
  1995       4      1995.292       1749.37          0.74       1747.93          0.47
  1995       5      1995.375       1747.63          1.04       1748.33          0.46
  1995       6      1995.458       1742.80          0.98       1748.68          0.46
  1995       7      1995.542       1740.15          0.97       1748.98          0.46
  1995       8      1995.625       1743.58          1.24       1749.24          0.47
  1995       9      1995.708       1749.73          1.20       1749.46          0.47
  1995      10      1995.792       1754.28          0.71       1749.65          0.48
  1995      11      1995.875       1755.42          0.85       1749.82          0.50
  1995      12      1995.958       1753.80          0.93       1749.98          0.52
  1996       1      1996.042       1752.27          0.96       1750.14          0.55
  1996       2      1996.125       1752.83          1.02       1750.30          0.58
  1996       3      1996.208       1752.28          0.90       1750.46          0.61
  1996       4      1996.292       1749.58          0.90       1750.65          0.64
  1996       5      1996.375       1748.28          0.99       1750.84          0.66
  1996       6      1996.458       1746.03          0.97       1751.06          0.68
  1996       7      1996.542       1742.02          0.93       1751.28          0.69
  1996       8      1996.625       1744.26          1.26       1751.51          0.69
  1996       9      1996.708       1752.57          1.37       1751.74          0.68
  1996      10      1996.792       1758.81          0.97       1751.98          0.66
