Year,HadISDH blend q (g/kg),HadISDH blend q uncertainty
1973,-0.07,0.097
1974,-0.24,0.093
1975,-0.23,0.091
1976,-0.27,0.090
1977,-0.06,0.088
1978,-0.15,0.088
1979,-0.09,0.088
1980,-0.07,0.089
1981,-0.04,0.089
1982,-0.16,0.090
1983,-0.06,0.088
1984,-0.20,0.087
1985,-0.22,0.088
1986,-0.20,0.085
1987,-0.04,0.083
1988,0.02,0.084
1989,-0.11,0.086
1990,0.03,0.085
1991,-0.00,0.089
1992,-0.12,0.088
1993,-0.10,0.087
1994,-0.04,0.088
1995,0.06,0.089
1996,-0.01,0.088
1997,0.07,0.088
1998,0.30,0.093
1999,0.05,0.094
2000,0.04,0.093
2001,0.07,0.095
2002,0.07,0.096
2003,0.11,0.098
2004,0.06,0.099
2005,0.09,0.097
2006,0.09,0.097
2007,0.10,0.098
2008,0.01,0.096
2009,0.05,0.099
2010,0.19,0.095
2011,0.04,0.097
2012,0.03,0.098
2013,0.05,0.096
2014,0.07,0.094
2015,0.17,0.098
2016,0.29,0.101
2017,0.19,0.099
2018,0.15,0.102
2019,0.21,0.100
2020,0.33,0.103
